id,name,path_with_namespace,ssh_url_to_repo,http_url_to_repo,namespace,branches
213,fengtian-jobs,oc-si/fengtian-jobs,git@git.opsnow.tech:oc-si/fengtian-jobs.git,https://git.opsnow.tech/oc-si/fengtian-jobs.git,oc-si,[]
212,ikea-etl-miaozhen,oc-si/ikea-etl-miaozhen,git@git.opsnow.tech:oc-si/ikea-etl-miaozhen.git,https://git.opsnow.tech/oc-si/ikea-etl-miaozhen.git,oc-si,[]
210,bp-ba-gitbook,PD/Private2.0/bp-ba-gitbook,git@git.opsnow.tech:PD/Private2.0/bp-ba-gitbook.git,https://git.opsnow.tech/PD/Private2.0/bp-ba-gitbook.git,PD/Private2.0,[]
209,fe-ca,PD/Private2.0/BP-FRONT-END/fe-ca,git@git.opsnow.tech:PD/Private2.0/BP-FRONT-END/fe-ca.git,https://git.opsnow.tech/PD/Private2.0/BP-FRONT-END/fe-ca.git,PD/Private2.0/BP-FRONT-END,[]
208,fe-ci,PD/Private2.0/BP-FRONT-END/fe-ci,git@git.opsnow.tech:PD/Private2.0/BP-FRONT-END/fe-ci.git,https://git.opsnow.tech/PD/Private2.0/BP-FRONT-END/fe-ci.git,PD/Private2.0/BP-FRONT-END,[]
207,bp-alert,PD/Private2.0/BP-MONITOR/bp-alert,git@git.opsnow.tech:PD/Private2.0/BP-MONITOR/bp-alert.git,https://git.opsnow.tech/PD/Private2.0/BP-MONITOR/bp-alert.git,PD/Private2.0/BP-MONITOR,[]
206,fe-widget,PD/Private2.0/BP-FRONT-END/fe-widget,git@git.opsnow.tech:PD/Private2.0/BP-FRONT-END/fe-widget.git,https://git.opsnow.tech/PD/Private2.0/BP-FRONT-END/fe-widget.git,PD/Private2.0/BP-FRONT-END,[]
205,hbs-proxy,PD/Private2.0/BP-MONITOR/hbs-proxy,git@git.opsnow.tech:PD/Private2.0/BP-MONITOR/hbs-proxy.git,https://git.opsnow.tech/PD/Private2.0/BP-MONITOR/hbs-proxy.git,PD/Private2.0/BP-MONITOR,[]
204,bp-cmp-sqlrecord,PD/Private2.0/BP-CMP/bp-cmp-sqlrecord,git@git.opsnow.tech:PD/Private2.0/BP-CMP/bp-cmp-sqlrecord.git,https://git.opsnow.tech/PD/Private2.0/BP-CMP/bp-cmp-sqlrecord.git,PD/Private2.0/BP-CMP,[]
203,bp-iam-client,PD/Private2.0/BP-IAM/bp-iam-client,git@git.opsnow.tech:PD/Private2.0/BP-IAM/bp-iam-client.git,https://git.opsnow.tech/PD/Private2.0/BP-IAM/bp-iam-client.git,PD/Private2.0/BP-IAM,[]
201,idc-billing,PD/Private2.0/BP-BILLING/idc-billing,git@git.opsnow.tech:PD/Private2.0/BP-BILLING/idc-billing.git,https://git.opsnow.tech/PD/Private2.0/BP-BILLING/idc-billing.git,PD/Private2.0/BP-BILLING,[]
200,ikea-etl-logservice,oc-si/ikea-etl-logservice,git@git.opsnow.tech:oc-si/ikea-etl-logservice.git,https://git.opsnow.tech/oc-si/ikea-etl-logservice.git,oc-si,[]
197,Toyota-frontend,oc-si/Toyota-frontend,git@git.opsnow.tech:oc-si/Toyota-frontend.git,https://git.opsnow.tech/oc-si/Toyota-frontend.git,oc-si,[]
196,ps-tool,oc-si/ps-tool,git@git.opsnow.tech:oc-si/ps-tool.git,https://git.opsnow.tech/oc-si/ps-tool.git,oc-si,[]
194,ikea-store-visitor,oc-si/ikea-store-visitor,git@git.opsnow.tech:oc-si/ikea-store-visitor.git,https://git.opsnow.tech/oc-si/ikea-store-visitor.git,oc-si,[]
192,fe-idc,PD/Private2.0/BP-FRONT-END/fe-idc,git@git.opsnow.tech:PD/Private2.0/BP-FRONT-END/fe-idc.git,https://git.opsnow.tech/PD/Private2.0/BP-FRONT-END/fe-idc.git,PD/Private2.0/BP-FRONT-END,[]
191,bp-win-agent,PD/Private2.0/BP-MONITOR/bp-win-agent,git@git.opsnow.tech:PD/Private2.0/BP-MONITOR/bp-win-agent.git,https://git.opsnow.tech/PD/Private2.0/BP-MONITOR/bp-win-agent.git,PD/Private2.0/BP-MONITOR,[]
190,bespin-sigar,oc-si/bespin-sigar,git@git.opsnow.tech:oc-si/bespin-sigar.git,https://git.opsnow.tech/oc-si/bespin-sigar.git,oc-si,[]
188,bp-cmdb,oc-si/sunhongs-opsnow/bp-cmdb,git@git.opsnow.tech:oc-si/sunhongs-opsnow/bp-cmdb.git,https://git.opsnow.tech/oc-si/sunhongs-opsnow/bp-cmdb.git,oc-si/sunhongs-opsnow,[]
185,bp-billing,oc-si/sunhongs-opsnow/bp-billing,git@git.opsnow.tech:oc-si/sunhongs-opsnow/bp-billing.git,https://git.opsnow.tech/oc-si/sunhongs-opsnow/bp-billing.git,oc-si/sunhongs-opsnow,[]
184,fe-opsnow-sh,oc-si/sunhongs-opsnow/fe-opsnow-sh,git@git.opsnow.tech:oc-si/sunhongs-opsnow/fe-opsnow-sh.git,https://git.opsnow.tech/oc-si/sunhongs-opsnow/fe-opsnow-sh.git,oc-si/sunhongs-opsnow,[]
183,ikea-etl-bcustomer-script,oc-si/ikea-etl-bcustomer-script,git@git.opsnow.tech:oc-si/ikea-etl-bcustomer-script.git,https://git.opsnow.tech/oc-si/ikea-etl-bcustomer-script.git,oc-si,[]
182,bp-iam-server,oc-si/sunhongs-opsnow/bp-iam-server,git@git.opsnow.tech:oc-si/sunhongs-opsnow/bp-iam-server.git,https://git.opsnow.tech/oc-si/sunhongs-opsnow/bp-iam-server.git,oc-si/sunhongs-opsnow,[]
181,fe-opsnow-sh,PD/Private2.0/BP-FRONT-END/fe-opsnow-sh,git@git.opsnow.tech:PD/Private2.0/BP-FRONT-END/fe-opsnow-sh.git,https://git.opsnow.tech/PD/Private2.0/BP-FRONT-END/fe-opsnow-sh.git,PD/Private2.0/BP-FRONT-END,[]
180,wzu-guacamole-client,oc-si/wzu-guacamole-client,git@git.opsnow.tech:oc-si/wzu-guacamole-client.git,https://git.opsnow.tech/oc-si/wzu-guacamole-client.git,oc-si,[]
179,Azure-audit,oc-si/Azure-audit,git@git.opsnow.tech:oc-si/Azure-audit.git,https://git.opsnow.tech/oc-si/Azure-audit.git,oc-si,[]
178,ikea-storetrack,oc-si/ikea-storetrack,git@git.opsnow.tech:oc-si/ikea-storetrack.git,https://git.opsnow.tech/oc-si/ikea-storetrack.git,oc-si,[]
176,bp-notifier,PD/Private2.0/BP-NOTIFIER/bp-notifier,git@git.opsnow.tech:PD/Private2.0/BP-NOTIFIER/bp-notifier.git,https://git.opsnow.tech/PD/Private2.0/BP-NOTIFIER/bp-notifier.git,PD/Private2.0/BP-NOTIFIER,[]
175,bp-cmp-security,PD/Private2.0/BP-CMP/bp-cmp-security,git@git.opsnow.tech:PD/Private2.0/BP-CMP/bp-cmp-security.git,https://git.opsnow.tech/PD/Private2.0/BP-CMP/bp-cmp-security.git,PD/Private2.0/BP-CMP,[]
174,CheckPoint,PD/Private2.0/BP-IAM/CheckPoint,git@git.opsnow.tech:PD/Private2.0/BP-IAM/CheckPoint.git,https://git.opsnow.tech/PD/Private2.0/BP-IAM/CheckPoint.git,PD/Private2.0/BP-IAM,[]
171,wzu,oc-si/wzu,git@git.opsnow.tech:oc-si/wzu.git,https://git.opsnow.tech/oc-si/wzu.git,oc-si,[]
170,wzu-webserver,oc-si/wzu-webserver,git@git.opsnow.tech:oc-si/wzu-webserver.git,https://git.opsnow.tech/oc-si/wzu-webserver.git,oc-si,[]
169,ikea-pingxx,oc-si/ikea-pingxx,git@git.opsnow.tech:oc-si/ikea-pingxx.git,https://git.opsnow.tech/oc-si/ikea-pingxx.git,oc-si,[]
167,ikea-odb-etl,oc-si/ikea-odb-etl,git@git.opsnow.tech:oc-si/ikea-odb-etl.git,https://git.opsnow.tech/oc-si/ikea-odb-etl.git,oc-si,[]
163,wenda-web,oc-si/wenda-web,git@git.opsnow.tech:oc-si/wenda-web.git,https://git.opsnow.tech/oc-si/wenda-web.git,oc-si,[]
159,bespin-kong-plugins,PD/Private2.0/BP-IAM/bespin-kong-plugins,git@git.opsnow.tech:PD/Private2.0/BP-IAM/bespin-kong-plugins.git,https://git.opsnow.tech/PD/Private2.0/BP-IAM/bespin-kong-plugins.git,PD/Private2.0/BP-IAM,[]
157,bp-ticket,PD/Private2.0/BP-TICKET/bp-ticket,git@git.opsnow.tech:PD/Private2.0/BP-TICKET/bp-ticket.git,https://git.opsnow.tech/PD/Private2.0/BP-TICKET/bp-ticket.git,PD/Private2.0/BP-TICKET,[]
156,wins3fs,oc-si/wins3fs,git@git.opsnow.tech:oc-si/wins3fs.git,https://git.opsnow.tech/oc-si/wins3fs.git,oc-si,[]
152,rocketmqadapter,oc-si/rocketmqadapter,git@git.opsnow.tech:oc-si/rocketmqadapter.git,https://git.opsnow.tech/oc-si/rocketmqadapter.git,oc-si,[]
151,wzdx,oc-si/wenda,git@git.opsnow.tech:oc-si/wenda.git,https://git.opsnow.tech/oc-si/wenda.git,oc-si,[]
150,java-rekognition,oc-si/java-rekognition,git@git.opsnow.tech:oc-si/java-rekognition.git,https://git.opsnow.tech/oc-si/java-rekognition.git,oc-si,[]
148,data-transfer,oc-si/data-transfer,git@git.opsnow.tech:oc-si/data-transfer.git,https://git.opsnow.tech/oc-si/data-transfer.git,oc-si,[]
147,imgtt,oc-si/imgtt,git@git.opsnow.tech:oc-si/imgtt.git,https://git.opsnow.tech/oc-si/imgtt.git,oc-si,[]
146,cms,oc-si/cms,git@git.opsnow.tech:oc-si/cms.git,https://git.opsnow.tech/oc-si/cms.git,oc-si,[]
145,test,oc-si/test,git@git.opsnow.tech:oc-si/test.git,https://git.opsnow.tech/oc-si/test.git,oc-si,[]
144,cmsWeb,oc-si/cmsWeb,git@git.opsnow.tech:oc-si/cmsWeb.git,https://git.opsnow.tech/oc-si/cmsWeb.git,oc-si,[]
132,bp-plugin,PD/Private2.0/BP-MONITOR/bp-plugin,git@git.opsnow.tech:PD/Private2.0/BP-MONITOR/bp-plugin.git,https://git.opsnow.tech/PD/Private2.0/BP-MONITOR/bp-plugin.git,PD/Private2.0/BP-MONITOR,[]
126,bp-workflow,PD/Private2.0/BP-CMP/bp-workflow,git@git.opsnow.tech:PD/Private2.0/BP-CMP/bp-workflow.git,https://git.opsnow.tech/PD/Private2.0/BP-CMP/bp-workflow.git,PD/Private2.0/BP-CMP,[]
123,bp-billing,PD/Private2.0/BP-BILLING/bp-billing,git@git.opsnow.tech:PD/Private2.0/BP-BILLING/bp-billing.git,https://git.opsnow.tech/PD/Private2.0/BP-BILLING/bp-billing.git,PD/Private2.0/BP-BILLING,[]
122,bp-falcon,PD/Private2.0/BP-MONITOR/bp-falcon,git@git.opsnow.tech:PD/Private2.0/BP-MONITOR/bp-falcon.git,https://git.opsnow.tech/PD/Private2.0/BP-MONITOR/bp-falcon.git,PD/Private2.0/BP-MONITOR,[]
121,bp-cma,PD/Private2.0/BP-MONITOR/bp-cma,git@git.opsnow.tech:PD/Private2.0/BP-MONITOR/bp-cma.git,https://git.opsnow.tech/PD/Private2.0/BP-MONITOR/bp-cma.git,PD/Private2.0/BP-MONITOR,[]
120,bp-cmm,PD/Private2.0/BP-MONITOR/bp-cmm,git@git.opsnow.tech:PD/Private2.0/BP-MONITOR/bp-cmm.git,https://git.opsnow.tech/PD/Private2.0/BP-MONITOR/bp-cmm.git,PD/Private2.0/BP-MONITOR,[]
119,bp-cmp,PD/Private2.0/BP-CMP/bp-cmp,git@git.opsnow.tech:PD/Private2.0/BP-CMP/bp-cmp.git,https://git.opsnow.tech/PD/Private2.0/BP-CMP/bp-cmp.git,PD/Private2.0/BP-CMP,[]
118,bp-iam-server,PD/Private2.0/BP-IAM/bp-iam-server,git@git.opsnow.tech:PD/Private2.0/BP-IAM/bp-iam-server.git,https://git.opsnow.tech/PD/Private2.0/BP-IAM/bp-iam-server.git,PD/Private2.0/BP-IAM,[]
117,bp-cmdb,PD/Private2.0/BP-CMDB/bp-cmdb,git@git.opsnow.tech:PD/Private2.0/BP-CMDB/bp-cmdb.git,https://git.opsnow.tech/PD/Private2.0/BP-CMDB/bp-cmdb.git,PD/Private2.0/BP-CMDB,[]
115,fe-Ocenter,PD/Private2.0/BP-FRONT-END/fe-Ocenter,git@git.opsnow.tech:PD/Private2.0/BP-FRONT-END/fe-Ocenter.git,https://git.opsnow.tech/PD/Private2.0/BP-FRONT-END/fe-Ocenter.git,PD/Private2.0/BP-FRONT-END,[]
114,fe-Opsnow,PD/Private2.0/BP-FRONT-END/fe-Opsnow,git@git.opsnow.tech:PD/Private2.0/BP-FRONT-END/fe-Opsnow.git,https://git.opsnow.tech/PD/Private2.0/BP-FRONT-END/fe-Opsnow.git,PD/Private2.0/BP-FRONT-END,[]
